latitude,longitude,cas_pozorovani_utc,misto_pozorovani,kdo_pocitil,popis_intenzity_kategorie,strach_panika,pohyb_predmetu,poskozeni_budov,zvuk_reportovan,ems98_odhad
49.5050473,14.1669755,2025-04-24 17:30:00+00:00,Doma,Jen respondent,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.2627667,13.9017307,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.3265348,14.3378755,2025-04-24 17:30:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.0192576,13.5795796,2025-04-24 17:33:34+00:00,Doma,Jen respondent,žádný,Ne/Nezadáno,Ne,Nezadáno,Ano,II - Zřídka pocítěno
49.717375,14.1892526,2025-04-24 17:46:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.4509144,14.3629955,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.3265348,14.3378755,2025-04-24 17:32:00+00:00,Doma,Jen respondent,žádný,Ne/Nezadáno,Ne,Ne,Ano,II - Zřídka pocítěno
49.4179969,14.0556392,2025-04-24 17:50:00+00:00,Venku/Nezadáno,Nezadáno,nan,Ne/Nezadáno,Ne,Nezadáno,Ano,Neklasifikováno
49.7516289,14.4096755,2025-04-24 17:40:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.5904701,13.8414513,2025-04-24 17:33:00+00:00,Venku/Nezadáno,Jen respondent,slabé zachvění,Ano,Ne,Ne,Ne,Neklasifikováno
49.617657,14.389767,2025-04-24 17:33:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.6634935,14.4235892,2025-04-24 17:32:00+00:00,Doma,Většina,nan,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.303454,14.158029,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.5531334,14.2120306,2025-04-24 17:32:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.2978787,14.1643231,2025-04-24 17:25:00+00:00,Doma,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.71091,13.9747867,2025-04-24 17:05:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.4611494,14.4854564,2025-04-24 17:32:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Nezadáno,Ano,Neklasifikováno
49.4161577,14.0183538,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.2748822,13.887515,2025-04-24 17:18:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.3541292,14.3244279,2025-04-24 17:34:00+00:00,Venku/Nezadáno,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.2978047,14.1263431,2025-04-24 17:35:00+00:00,Doma,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.2976026,13.7559597,2025-04-24 17:35:00+00:00,Doma,Nezadáno,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,Neklasifikováno
49.5098791,14.1655127,2025-04-24 17:55:00+00:00,Doma,Nezadáno,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,Neklasifikováno
49.3402063,13.9587053,2025-04-24 17:34:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.3655715,14.2116965,2025-04-24 17:32:00+00:00,Venku/Nezadáno,Jen respondent,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.4572732,14.3233424,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.3689659,14.0186143,2025-04-24 17:30:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.5923559,14.0886972,2025-04-24 17:32:00+00:00,Doma,Jen respondent,silné otřsx,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.4655806,14.0692278,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.685432,13.9989449,2025-04-24 17:34:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.4655806,14.0692278,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.303454,14.158029,2025-04-24 17:32:00+00:00,Doma,Jen respondent,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.4422825,13.8979884,2025-04-24 17:32:00+00:00,Doma,Jen respondent,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.5320893,14.0273397,2025-04-24 17:36:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.311752,14.1645587,2025-04-24 17:33:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.3265348,14.3378755,2025-04-24 17:30:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.3141651,14.1505867,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.2759633,14.158231,2025-04-24 17:34:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ne,IV - Značně pozorované
49.4265777,14.2005659,2025-04-24 17:33:00+00:00,Doma,Většina,silné otřsx,Ano,Ne,Ne,Ano,Neklasifikováno
49.2998664,14.1511078,2025-04-24 17:30:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.7805069,14.1740016,2025-04-24 17:32:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Nezadáno,Ano,Neklasifikováno
49.3787984,13.8269523,2025-04-24 17:30:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.2340053,14.357368,2025-04-24 17:30:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.4796628,14.4203504,2025-04-24 17:55:00+00:00,Doma,Jen respondent,silné otřsx,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.3133222,14.150277,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.3133222,14.150277,2025-04-24 17:30:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.1950094,14.2487553,2025-04-24 17:32:00+00:00,Doma,Jen respondent,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.2977017,14.1227437,2025-04-24 17:32:00+00:00,Venku/Nezadáno,Nezadáno,žádný,Ne/Nezadáno,Ne,Ne,Ano,I - Nepocítěno
49.2707627,14.0103679,2025-04-24 17:30:00+00:00,Venku/Nezadáno,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
